matrix,matrix_domain,matrix_m,matrix_n,matrix_name,matrix_nnz,matrix_size,normal_spmv_time,oski_mean_max_error,oski_mean_spmv_time,oski_mean_time,phil_mean_max_error,phil_mean_spmv_time,phil_mean_time,pphil_mean_max_error,pphil_mean_spmv_time,pphil_mean_time
degme_conv,Linear Programming,659415,185501,degme,8127528,290454844,0.0027508698600000004,0.07668029989041433,0.0027691108453000036,0.20731769018,0.016588858045995827,0.002750869860000003,0.0285662268,0.01633946075288295,0.002750869860000003,0.0037345340100000003
atmosmodl_conv,Computational Fluid Dynamics,1489752,1489752,atmosmodl,10319760,378309913,0.00332625981,0.008113650083756039,0.0033262598100000053,0.35298165287000005,0.022809874418290476,0.0033262598100000053,0.023654636740000002,0.022858768712527712,0.0033262598100000053,0.0037330033100000004
largebasis_conv,Mathematical Optimization,440020,440020,largebasis,5560100,199715066,0.0015283165600000002,0.01644793420054607,0.0016014972500000002,0.14917462073,0.025511025522643567,0.0016014972500000002,0.02457456665,0.02675237532176478,0.0016014972500000002,0.0037895409200000003
halfb_conv,Structural,224617,224617,halfb,12387821,434228827,0.0028595397200000001,0.030098179252104885,0.002697808552700003,0.28505583881,0.02681965069487366,0.002697573610000003,0.0302338947,0.025912201488907924,0.002697573610000003,0.0039015722700000005
ldoor_conv,Structural,952203,952203,ldoor,46522475,1684290719,0.010903866390000001,0.01203198701519486,0.008765395810000014,1.0656404319100001,0.023875835737755046,0.008765395810000014,0.03169003863,0.024527626732604037,0.008765395810000014,0.004468254840000001
3dtube_conv,Computational Fluid Dynamics,45330,45330,3dtube,3213618,107752876,0.00075393228000000009,0.07411741213629106,0.00041047371999999925,0.07068793039,0.024236224219775563,0.00041047371999999925,0.028374857660000002,0.025403203579571675,0.00041047371999999925,0.00423552097
exdata_1_conv,Mathematical Optimization,6001,6001,exdata_1,2269501,72623456,0.0013624320699999999,4.496234808611089,0.0007210416965,0.0462388419,0.033514170406371516,0.0007355974999999998,0.034383133600000004,0.03290079832677349,0.0007355974999999998,0.004663347430000001
pds-100_conv,Linear Programming,514577,156243,pds-100,1096002,38969693,0.00055984148000000008,0.02829789599231713,0.0005598414800000016,0.033118211050000006,0.003986690774789064,0.0005598414800000016,0.02306576036,0.00413228113858775,0.0005598414800000016,0.0033159250400000002
kim2_conv,2D/3D Problem,456976,456976,kim2,11330020,402487148,0.0027714451199999999,0.006402613870073809,0.0028844726500000016,0.27839120174000004,0.0342875909237987,0.0028844726500000016,0.0265200322,0.03398306020884378,0.0028844726500000016,0.00401512291
Emilia_923_conv,Structural,923136,923136,Emilia_923,41005206,1487924489,0.0092484382299999994,0.010429897915059666,0.007637398470000001,0.9599531274900001,0.02113302032117457,0.007637398470000001,0.0317460664,0.021430811382504977,0.007637398470000001,0.00442062485
mip1_conv,Optimization Problem,66463,66463,mip1,10352819,350119603,0.0038808036700000003,0.4309084269618713,0.0031384411137000013,0.21937736256,0.031666233787514195,0.0036368344600000014,0.03574304442,0.03184285896781287,0.0036368344600000014,0.00551818043
bundle_adj_conv,Computer Vision,513351,513351,bundle_adj,20208051,691073443,0.014943096669999999,0.09606140120135934,0.010903993859999982,0.45011863645000005,0.024649342572055744,0.010903993859999982,0.037143153990000004,0.025263129917074974,0.010903993859999982,0.00557262158
inline_1_conv,Structural,503712,503712,inline_1,36816342,1323330879,0.010898257820000002,0.014613882696007812,0.008443410519999998,0.82764971191,0.019310357596711073,0.008443410519999998,0.03510201459,0.019387073128726187,0.008443410519999998,0.00542194734
m_t1_conv,Structural,97578,97578,m_t1,9753570,334639070,0.0022552908999999999,0.037989941835351426,0.0016152632499999988,0.20997307456000003,0.020321256173168697,0.0016152632499999988,0.03201215668,0.019632273798003495,0.0016152632499999988,0.00404506357
